"occurence","nombre_occ","labels_occ"
15,8,dancer; influencer; priest; prose writer; sex educator; singer-songwriter; social reformer; voice actor
12,7,catholic bishop; archivist; curator; pharmacist; psychotherapist; scientist; surgeon
13,6,association football player; chemist; computer scientist; designer; documentary filmmaker; ecologist
14,6,literary scholar; newspaper editor; presenter; psychiatrist; reporter; science fiction writer
11,5,animal rights advocate; community organizer; local politician; member of the state duma; performance artist
29,5,civil servant; editing staff; pacifist; resistance fighter; television producer
18,4,farmer; pastor; revolutionary; theatrical director
20,4,art historian; drag queen; orator; political prisoner
22,4,catholic priest; youtuber; humanitarian; songwriter
16,3,anarchist; barrister; biologist
17,3,head teacher; school teacher; trans activist
19,3,comedian; filmmaker; podcaster
28,3,director; linguist; visual artist
31,3,hiv/aids activist; composer; stage actor
65,3,blogger; economist; painter
21,2,architect; sculptor
25,2,biographer; radio personality
30,2,lecturer; military personnel
32,2,engineer; philanthropist
35,2,judge; mathematician
38,2,professor; television presenter
43,2,literary critic; physicist
45,2,entrepreneur; non-fiction writer
49,2,playwright; publisher
51,2,film actor; researcher
56,2,model; public figure
57,2,dissident; social worker
60,2,autobiographer; photographer
62,2,anthropologist; pedagogue
97,2,essayist; physician
144,2,suffragist; translator
23,1,philologist
26,1,children's writer
27,1,librarian
34,1,nurse
36,1,film producer
40,1,civil rights advocate
41,1,television actor
42,1,theologian
48,1,columnist
50,1,musician
53,1,feminist
55,1,social activist
61,1,diplomat
64,1,psychologist
66,1,businessperson
69,1,political scientist
70,1,artist
75,1,educator
83,1,screenwriter
87,1,author
90,1,singer
91,1,opinion journalist
101,1,film director
105,1,academic
107,1,environmentalist
114,1,suffragette
116,1,peace activist
126,1,political activist
133,1,trade unionist
134,1,sociologist
136,1,novelist
146,1,jurist
147,1,philosopher
188,1,actor
193,1,climate activist
197,1,historian
220,1,editor
275,1,poet
288,1,teacher
346,1,university teacher
410,1,activist
478,1,lawyer
838,1,journalist
1093,1,politician
1438,1,lgbtqi+ rights activist
1447,1,writer
2792,1,women's rights activist
3311,1,human rights activist
